id;clothing_id;age;title;review;rating;recommended;positive_feedback;division;department;class_name
1000;1;1;ohwonder;haha;2;2;2;general;dress;dresses
1001;2;2;jackie;haha;2;2;2;general;dress;dresses
1002;2;2;wilson;haha;2;2;2;general;dress;dresses
1003;2;2;tom;haha;2;2;2;general;dress;dresses
1004;2;2;odell;haha;2;2;2;general;dress;dresses
1005;2;2;troye;haha;2;2;2;general;dress;dresses
1006;2;2;taylor;haha;2;2;2;general;dress;dresses
1007;2;2;swift;haha;2;2;2;general;dress;dresses
1008;2;2;dorothea;haha;2;2;2;general;dress;dresses
1009;2;2;estee;haha;2;2;2;general;dress;dresses
